,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,VfL Wolfsburg,Bundesliga,€56.15m,18,€59.65m,16,€3.50m
1,FC Schalke 04,Bundesliga,€36.10m,22,€20.05m,26,€-16.05m
2,TSG 1899 Hoffenheim,Bundesliga,€22.45m,15,€45.40m,16,€22.95m
3,Bayern Munich,Bundesliga,€17.00m,8,€6.00m,10,€-11.00m
4,SV Werder Bremen,Bundesliga,€16.24m,15,€21.50m,12,€5.26m
5,Hamburger SV,Bundesliga,€15.20m,11,€15.55m,12,€350k
6,VfB Stuttgart,Bundesliga,€13.10m,13,€20.50m,15,€7.40m
7,Borussia Mönchengladbach,Bundesliga,€7.00m,11,€2.00m,11,€-5.00m
8,Borussia Dortmund,Bundesliga,€6.20m,12,€4.30m,12,€-1.90m
9,Bayer 04 Leverkusen,Bundesliga,€5.70m,14,€6.55m,15,€850k
10,1.FC Kaiserslautern,Bundesliga,€4.60m,19,€100k,20,€-4.50m
11,1.FC Köln,Bundesliga,€4.60m,18,€50k,13,€-4.55m
12,1.FSV Mainz 05,Bundesliga,€3.80m,17,€5.12m,20,€1.32m
13,Eintracht Frankfurt,Bundesliga,€2.45m,10,€1.15m,15,€-1.30m
14,SC Freiburg,Bundesliga,€1.45m,13,€210k,13,€-1.24m
15,1.FC Nuremberg,Bundesliga,€1.15m,20,€2.75m,18,€1.60m
16,Hannover 96,Bundesliga,€1.00m,11,€550k,16,€-450k
17,FC St. Pauli,Bundesliga,€200k,5,-,7,€-200k
