,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Real Madrid,LaLiga,€175.50m,10,€113.50m,10,€-62.00m
1,FC Barcelona,LaLiga,€101.00m,9,€28.10m,7,€-72.90m
2,Atlético de Madrid,LaLiga,€36.10m,21,€70.70m,18,€34.61m
3,Sevilla FC,LaLiga,€35.30m,27,€90.98m,28,€55.68m
4,Valencia CF,LaLiga,€22.47m,15,€47.10m,14,€24.63m
5,Villarreal CF,LaLiga,€17.45m,14,€10.50m,17,€-6.95m
6,Athletic Bilbao,LaLiga,€15.40m,12,-,11,€-15.40m
7,Getafe CF,LaLiga,€10.00m,15,€14.50m,17,€4.50m
8,Real Betis Balompié,LaLiga,€7.45m,23,€10.03m,20,€2.58m
9,Real Sociedad,LaLiga,€6.50m,6,€32.00m,6,€25.50m
10,Celta de Vigo,LaLiga,€6.40m,16,€10.80m,18,€4.40m
11,Granada CF,LaLiga,€5.98m,34,€6.70m,38,€721k
12,Málaga CF,LaLiga,€5.23m,21,€37.65m,20,€32.42m
13,CA Osasuna,LaLiga,€3.10m,12,€4.00m,15,€900k
14,Elche CF,LaLiga,€2.23m,16,-,17,€-2.23m
15,Real Valladolid CF,LaLiga,€1.05m,10,€1.80m,9,€750k
16,RCD Espanyol Barcelona,LaLiga,€750k,15,€12.90m,14,€12.15m
17,Levante UD,LaLiga,€300k,16,€4.62m,15,€4.32m
18,Rayo Vallecano,LaLiga,-,21,€7.00m,16,€7.00m
19,UD Almería,LaLiga,-,16,€1.00m,14,€1.00m
