,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Paris Saint-Germain,Ligue 1,€151.00m,11,€4.75m,15,€-146.25m
1,LOSC Lille,Ligue 1,€22.50m,13,€41.20m,17,€18.70m
2,Montpellier HSC,Ligue 1,€12.50m,11,€20.00m,6,€7.50m
3,FC Lorient,Ligue 1,€10.00m,13,€5.00m,13,€-5.00m
4,Olympique Lyon,Ligue 1,€8.75m,14,€29.10m,19,€20.35m
5,Olympique Marseille,Ligue 1,€8.70m,14,€29.80m,15,€21.10m
6,Stade Rennais FC,Ligue 1,€8.70m,15,€27.50m,15,€18.80m
7,FC Sochaux-Montbéliard,Ligue 1,€7.75m,14,€16.86m,10,€9.11m
8,OGC Nice,Ligue 1,€6.00m,19,€8.70m,17,€2.70m
9,AS Nancy-Lorraine,Ligue 1,€4.70m,24,€6.50m,22,€1.80m
10,AS Saint-Étienne,Ligue 1,€4.50m,17,€4.60m,16,€100k
11,Stade Reims,Ligue 1,€3.35m,12,-,18,€-3.35m
12,Valenciennes FC,Ligue 1,€3.10m,11,€4.00m,8,€900k
13,FC Girondins Bordeaux,Ligue 1,€2.80m,7,€5.50m,8,€2.70m
14,Stade Brestois 29,Ligue 1,€2.45m,13,€1.50m,14,€-950k
15,FC Évian Thonon Gaillard,Ligue 1,€1.60m,9,-,11,€-1.60m
16,FC Toulouse,Ligue 1,€1.00m,10,€14.10m,11,€13.10m
17,ESTAC Troyes,Ligue 1,€500k,12,€4.45m,15,€3.95m
18,SC Bastia,Ligue 1,-,16,€7.50m,11,€7.50m
19,AC Ajaccio,Ligue 1,-,13,€1.00m,12,€1.00m
