,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Manchester City,Premier League,€157.35m,26,€26.50m,18,€-130.85m
1,Tottenham Hotspur,Premier League,€143.95m,34,€88.05m,35,€-55.90m
2,Liverpool FC,Premier League,€73.45m,29,€46.45m,29,€-27.00m
3,Aston Villa,Premier League,€55.90m,19,€7.52m,15,€-48.38m
4,Manchester United,Premier League,€45.25m,16,€7.45m,17,€-37.80m
5,Arsenal FC,Premier League,€40.15m,15,€25.80m,11,€-14.35m
6,Newcastle United,Premier League,€35.48m,22,€41.40m,15,€5.93m
7,Stoke City,Premier League,€33.95m,24,€765k,19,€-33.19m
8,Sunderland AFC,Premier League,€33.11m,34,€11.15m,34,€-21.96m
9,Chelsea FC,Premier League,€30.50m,15,€44.55m,17,€14.05m
10,Portsmouth FC,Premier League,€28.20m,29,€54.15m,24,€25.95m
11,Fulham FC,Premier League,€26.85m,29,€16.33m,39,€-10.53m
12,Everton FC,Premier League,€25.08m,14,€13.30m,10,€-11.78m
13,West Bromwich Albion,Premier League,€24.32m,21,€10.25m,20,€-14.07m
14,Wigan Athletic,Premier League,€24.10m,22,€24.50m,26,€400k
15,Bolton Wanderers,Premier League,€23.70m,15,€10.88m,16,€-12.83m
16,Hull City,Premier League,€17.95m,26,-,18,€-17.95m
17,West Ham United,Premier League,€16.00m,27,€68.83m,25,€52.83m
18,Middlesbrough FC,Premier League,€12.80m,18,€8.72m,18,€-4.08m
19,Blackburn Rovers,Premier League,€11.68m,25,€26.50m,26,€14.82m
