,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,SL Benfica,Liga Portugal,€55.75m,29,€45.70m,31,€-10.05m
1,FC Porto,Liga Portugal,€34.82m,20,€81.42m,18,€46.60m
2,SC Braga,Liga Portugal,€4.90m,30,€7.66m,34,€2.76m
3,Sporting CP,Liga Portugal,€3.76m,24,€35.66m,24,€31.91m
4,CD Nacional,Liga Portugal,€1.40m,21,-,20,€-1.40m
5,CF Os Belenenses,Liga Portugal,€1.00m,29,-,29,€-1.00m
6,Vitória Guimarães SC,Liga Portugal,€500k,17,€4.75m,14,€4.25m
7,Estoril Praia,Liga Portugal,€380k,21,€3.90m,21,€3.52m
8,Académica Coimbra,Liga Portugal,€185k,21,€1.75m,25,€1.57m
9,CS Marítimo,Liga Portugal,€150k,13,€4.00m,19,€3.85m
10,FC Paços de Ferreira,Liga Portugal,€125k,35,€2.75m,32,€2.63m
11,Rio Ave FC,Liga Portugal,€70k,38,€1.00m,34,€930k
12,Vitória Setúbal FC,Liga Portugal,€50k,28,€2.05m,25,€2.00m
13,Gil Vicente FC,Liga Portugal,-,29,€150k,32,€150k
14,SC Olhanense,Liga Portugal,-,28,-,29,+-0
15,FC Arouca,Liga Portugal,-,19,-,20,+-0
