,Club,Competition,Expenditure,Arrivals,Income,Departures,Balance
0,Genoa CFC,Serie A,€80.05m,62,€62.00m,66,€-18.05m
1,Juventus FC,Serie A,€59.27m,46,€36.78m,42,€-22.50m
2,AC Milan,Serie A,€51.90m,43,€25.93m,39,€-25.97m
3,Inter Milan,Serie A,€38.14m,37,€66.53m,38,€28.39m
4,US Palermo,Serie A,€33.21m,40,€23.85m,42,€-9.36m
5,Parma FC,Serie A,€30.78m,54,€18.66m,52,€-12.12m
6,SS Lazio,Serie A,€29.50m,19,€27.03m,22,€-2.47m
7,UC Sampdoria,Serie A,€25.81m,37,€27.00m,36,€1.20m
8,ACF Fiorentina,Serie A,€22.82m,27,€5.75m,24,€-17.07m
9,Bologna FC 1909,Serie A,€22.36m,23,€8.20m,24,€-14.16m
10,SSC Napoli,Serie A,€19.80m,30,€12.90m,24,€-6.90m
11,Udinese Calcio,Serie A,€15.05m,56,€30.29m,59,€15.24m
12,AS Bari,Serie A,€12.25m,45,€16.50m,44,€4.25m
13,AS Roma,Serie A,€11.20m,30,€10.65m,28,€-550k
14,Brescia Calcio,Serie A,€8.25m,25,€7.65m,24,€-600k
15,Cagliari Calcio,Serie A,€6.90m,16,€8.96m,21,€2.06m
16,Chievo Verona,Serie A,€6.85m,50,€1.10m,51,€-5.75m
17,AC Cesena,Serie A,€6.57m,41,€6.35m,48,€-215k
18,US Lecce,Serie A,€4.80m,30,€1.84m,34,€-2.96m
19,Calcio Catania,Serie A,€4.20m,23,€19.00m,29,€14.80m
