,Club,league,Expenditure,Arrivals,Income,Departures,Balance,season,league_id
0,Hamburger SV,Bundesliga,34450000.0,15,45200000.0,14,10750000.0,2008/2009,7809
1,VfL Wolfsburg,Bundesliga,33100000.0,19,4530000.0,22,-28570000.0,2008/2009,7809
2,FC Schalke 04,Bundesliga,15750000.0,8,9000000.0,11,-6750000.0,2008/2009,7809
3,Borussia Dortmund,Bundesliga,13750000.0,13,12300000.0,17,-1450000.0,2008/2009,7809
4,TSG 1899 Hoffenheim,Bundesliga,11950000.0,10,125000.0,16,-11830000.0,2008/2009,7809
5,Borussia Mönchengladbach,Bundesliga,11550000.0,13,670000.0,11,-10880000.0,2008/2009,7809
6,Bayer 04 Leverkusen,Bundesliga,10250000.0,16,4000000.0,12,-6250000.0,2008/2009,7809
7,VfB Stuttgart,Bundesliga,9600000.0,14,13100000.0,14,3500000.0,2008/2009,7809
8,1.FC Köln,Bundesliga,7150000.0,13,750000.0,13,-6400000.0,2008/2009,7809
9,Eintracht Frankfurt,Bundesliga,6650000.0,8,1020000.0,6,-5630000.0,2008/2009,7809
10,Hannover 96,Bundesliga,6400000.0,12,3140000.0,9,-3270000.0,2008/2009,7809
11,Hertha BSC,Bundesliga,6400000.0,17,2900000.0,12,-3500000.0,2008/2009,7809
12,SV Werder Bremen,Bundesliga,5800000.0,10,3400000.0,9,-2400000.0,2008/2009,7809
13,VfL Bochum,Bundesliga,4750000.0,10,8000.0,12,-4740000.0,2008/2009,7809
14,Arminia Bielefeld,Bundesliga,3200000.0,14,1830000.0,17,-1380000.0,2008/2009,7809
15,FC Energie Cottbus,Bundesliga,2600000.0,16,720000.0,15,-1880000.0,2008/2009,7809
16,Karlsruher SC,Bundesliga,1900000.0,7,2900000.0,4,1000000.0,2008/2009,7809
17,Bayern Munich,Bundesliga,0.0,7,10900000.0,11,10900000.0,2008/2009,7809
18,Bayern Munich,Bundesliga,75700000.0,13,22950000.0,12,-52750000.0,2009/2010,7809
19,Hamburger SV,Bundesliga,30450000.0,18,8500000.0,18,-21950000.0,2009/2010,7809
20,VfL Wolfsburg,Bundesliga,27300000.0,14,3400000.0,15,-23900000.0,2009/2010,7809
21,VfB Stuttgart,Bundesliga,18100000.0,11,30950000.0,9,12850000.0,2009/2010,7809
